Study_number,Authors,Title,Source,Volume,Issue,BP,EP,PubYear,Notes,Citations,DE,DLD,DOI,nonEnglish,Rank,SearchDate,SearchTerm,TF,UT,SN,Copy,DLD_count,DE_count,Requested
56,"ZELWER, M; MEDINA, E",DAILY FLUCTUATIONS IN SOIL RESPIRATION WITH ABSORPTION METHOD,ACTA CIENTIFICA VENEZOLANA,21,,30,31,1970,,0,N,Y,,Y,1,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1970G357100071,0001-5504,Harrison,30,30,
57,AGNIHOTR.VP,"PERSISTENCE OF CAPTAN AND ITS EFFECTS ON MICROFLORA, RESPIRATION, AND NITRIFICATION OF A FOREST NURSERY SOIL",CANADIAN JOURNAL OF MICROBIOLOGY,17,3,377,&,1971,,29,,,,N,3,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1971I828200012,0008-4166,,30,30,
58,BECK T,THE DETERMINATION OF CATALASE ACTIVITY IN SOILS,Zeitschrift fuer Pflanzenernaehrung und Bodenkunde,130,1,68,81,1971,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")",,BIOSIS:PREV197254034544,0044-3263,,30,30,
59,"Billès, G.; Cortez, J.; Lossaint, P.",L'activité biologique des sols dans les écosystèmes méditerranéens. (I). Minéralisation du carbone,Rev. Ecol. Biol. Sol,8,,375,395,1971,,,Y,Y,,N,1,9/26/2008,R&S1992,,,,,31,31,
60,"Clymo, R.S.; Reddaway, E.J.F.",Productivity of Sphagnum (bog-moss) and peat accumulation,Hidrobiologia,12,,181,192,1971,Citation not correct?,,,N,,N,1,9/26/2008,R&S1992,,,,Nellie,32,31,
61,COUTINHO L M; LAMBERTI A,SOIL RESPIRATION AND PRIMARY PRODUCTIVITY IN AN AMAZONIAN TERRA-FIRMA FOREST COMMUNITY,Ciencia e Cultura (Sao Paulo),23,3,411,419,1971,,0,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")",,BIOSIS:PREV197254001440,0009-6725,Harrison,33,32,
62,"GAUR, AC; SADASIVA.KV; VIMAL, OP; MATHUR, RS","STUDY ON DECOMPOSITION OF ORGANIC MATTER IN AN ALLUVIAL SOIL - CO2 EVOLUTION, MICROBIOLOGICAL AND CHEMICAL TRANSFORMATIONS",PLANT AND SOIL,35,1,17,&,1971,,9,N,Y,,N,2,9/26/2008,"Topic=(""soil co2 evolution"" not ""soil respiration"")",,WOS:A1971K216100002,0032-079X,,34,33,
63,KIRITA H,RE EXAMINATION OF THE ABSORPTION METHOD OF MEASURING SOIL RESPIRATION UNDER FIELD CONDITIONS PART 4 AN IMPROVED ABSORPTION METHOD USING A DISC OF PLASTIC SPONGE AS ABSORBENT HOLDER,Japanese Journal of Ecology,21,3-4,119,127,1971,,0,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration""); R&S1992",,BIOSIS:PREV197356017221,0021-5007,,35,34,
64,KIRITA H,RE-EXAMINATION OF THE ABSORPTION METHOD OF MEASURING SOIL RESPIRATION UNDER FIELD CONDITIONS PART 2 EFFECT OF THE SIZE OF THE APPARATUS ON CARBON DI OXIDE ABSORPTION RATES,Japanese Journal of Ecology,21,1-2,37,42,1971,,0,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration""); R&S1992",,BIOSIS:PREV197254069670,0021-5007,,36,35,
65,KIRITA H,REEXAMINATION OF THE ABSORPTION METHOD OF MEASURING SOIL RESPIRATION UNDER FIELD CONDITIONS PART 3 COMBINED EFFECT OF THE COVERED GROUND AREA AND THE SURFACE AREA OF POTASSIUM HYDROXIDE SOLUTION ON CARBON DI OXIDE ABSORPTION RATES,Japanese Journal of Ecology,21,1-2,43,47,1971,,0,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration""); R&S1992",,BIOSIS:PREV197254069669,0021-5007,,37,36,
66,KIRITA H,STUDIES OF SOIL RESPIRATION IN WARM TEMPERATE EVERGREEN BROAD-LEAF FORESTS OF SOUTHWESTERN JAPAN,Japanese Journal of Ecology,21,5-6,230,244,1971,,0,Y,Y,,Y,1,9/26/2008,"Topic=(""soil respiration""); R&S1992",,BIOSIS:PREV197356034507,0021-5007,,38,37,
67,KOBAKHIDZE K V; CHKONIYA T A; DZHAVSHANASHVILI E Z,THE EFFECT OF MANGANESE ON SOME PHYSIOLOGICAL PROCESSES OCCURRING IN THE MAIZE-M PLANT AND ACCUMULATION OF CHEMICAL SUBSTANCES IN THE KERNELS,Soobshcheniya Akademii Nauk Gruzinskoi SSR,62,1,153,155,1971,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")",,BIOSIS:PREV197253016667,0132-1447,,38,37,
68,"KUCERA, CL; KIRKHAM, DR",SOIL RESPIRATION STUDIES IN TALLGRASS PRAIRIE IN MISSOURI,ECOLOGY,52,5,912,&,1971,,189,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration""); R&S1992; B-L2004",,WOS:A1971L173800022,0012-9658,,39,38,
69,LAPINA L P; POPOV B A,AFTEREFFECT OF SODIUM SULFATE AND SODIUM CHLORIDE ON FUNCTIONAL ACTIVITY AND STRUCTURE OF MAIZE-M CHLOROPLASTS,Fiziologiya Rastenii (Moscow),18,2,409,414,1971,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")",,BIOSIS:PREV197254057377,0015-3303,,39,38,
70,MALONE C R,RESPONSES OF SOIL MICROORGANISMS TO NON-SELECTIVE VEGETATION CONTROL IN A FESCUE-M MEADOW,Soil Biology and Biochemistry,3,2,127,131,1971,,0,,,,N,4,9/26/2008,"Topic=(""soil respiration"")",,BIOSIS:PREV197152133844,0038-0717,,39,38,
71,"NAUMANN, K",DYNAMICS OF SOIL MICROFLORA AFTER USE OF PESTICIDES .6. TESTS WITH INSECTICIDES GAMMA BENZENE HEXACHLORIDE AND TOXAPHENE,PEDOBIOLOGIA,11,4,286,&,1971,,7,,,,N,4,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1971K368100002,0031-4056,,39,38,
72,"REDMANN, RE",CARBON DIXODE EXCHANGE BY NATIVE GREAT-PLAINS GRASSES,CANADIAN JOURNAL OF BOTANY-REVUE CANADIENNE DE BOTANIQUE,49,8,1341,&,1971,,8,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1971K273200012,,Harrison,40,39,
73,"SNEH, B; KATAN, J; HENIS, Y",MODE OF INHIBITION OF RHIZOCTONIA-SOLANI IN CHITIN-AMENDED SOIL,PHYTOPATHOLOGY,61,9,1113,&,1971,,22,,,,N,3,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1971K339500020,0031-949X,,40,39,
74,"STOUT, JD",DISTRIBUTION OF SOIL BACTERIA IN RELATION TO BIOLOGICAL-ACTIVITY AND PEDOGENESIS .1. GENERAL INTRODUCTION AND FACTORS AFFECTING POPULATIONS AT TAITA EXPERIMENTAL STATION NEW-ZEALAND,NEW ZEALAND JOURNAL OF SCIENCE,14,4,816,&,1971,,6,,,,N,3,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1971M230200004,0028-8365,,40,39,
75,"CRAPO, NL; COLEMAN, DC",ROOT DISTRIBUTION AND RESPIRATION IN A CAROLINA OLD FIELD,OIKOS,23,1,137,&,1972,,29,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1972L802600015,0030-1299,Nellie,41,40,
76,DE JONG E; SCHAPPERT H J V,CALCULATION OF SOIL RESPIRATION AND ACTIVITY FROM CARBON DI OXIDE PROFILES IN THE SOIL,Soil Science,113,5,328,333,1972,,0,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")",,BIOSIS:PREV197254052205,0038-075X,Valya,42,41,
77,"FROMENT, A",SOIL RESPIRATION IN A MIXED OAK FOREST,OIKOS,23,2,273,277,1972,,48,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1972N266100018,0030-1299,Valya,43,42,
78,"Havas, P; Mäenpää, E.",Evolution of carbon dioxide at the floor of a Hylocomium Myrtillus type spruce forest,Aquillo Ser. Bot.,11,,4,22,1972,,,Y,Y,,N,1,9/26/2008,R&S1992,,,,Harrison,44,43,
79,"IMSHENET.AA; MURZAKOV, BG; SUROVOV, VK",EFFECT OF SOIL RESPIRATION APPLIED FOR DETECTION OF EXTRATERRESTRIAL LIFE,MIKROBIOLOGIYA,41,6,1086,1090,1972,,1,,,,N,4,9/26/2008,"Topic=(""soil respiration"")",,WOS:A1972O432600025,,,44,43,
80,IMSHENETSKII A A; MURZAKOV B G; SUROVOV V K,USE OF THE SOIL RESPIRATION EFFECT IN SEARCHING FOR EXTRATERRESTRIAL LIFE,Microbiology (New York),41,6,962,965,1972,,0,,,,N,4,9/26/2008,"Topic=(""soil respiration"")",,BIOSIS:PREV197309084363,0026-2617,,44,43,
81,JAGNOW G,SOIL RESPIRATION NITROGEN MINERALIZATION AND HUMUS DECOMPOSITION OF EAST AFRICAN SOILS AFTER DRYING AND RE MOISTENING,ZEITSCHRIFT FUR PFLANZENERNAHRUNG UND BODENKUNDE,131,1,56,66,1972,,0,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")",,BIOSIS:PREV197356034586,0044-3263,Valya,45,44,
